acronym,definition
API,Application Programming Interface
SDK,Software Development Kit
LLM,"Large Language Model — a neural network, typically a transformer, trained on huge amounts of text"
RAG,"Retrieval-Augmented Generation: grounding an LLM in retrieved documents"
KPI,Key Performance Indicator
ROI,Return on Investment
EOD,End of Day
COB,Close of Business
WIP,Work in Progress
ETA,Estimated Time of Arrival
MVP,Minimum Viable Product
MVP,"Most Valuable Player (sports / informal use)"
OKR,Objectives and Key Results
PR,Pull Request (software development)
PR,Public Relations (business / marketing)
CI,Continuous Integration
CD,Continuous Delivery
